data,ricoverati_con_sintomi,terapia_intensiva
2020-02-24,101,26
2020-02-25,114,35
2020-02-26,128,36
2020-02-27,248,56
2020-02-28,345,64
2020-02-29,401,105
2020-03-01,639,140
2020-03-02,742,166
2020-03-03,1034,229
2020-03-04,1346,295
2020-03-05,1790,351
2020-03-06,2394,462
2020-03-07,2651,567
2020-03-08,3557,650
2020-03-09,4316,733
2020-03-10,5038,877
2020-03-11,5838,1028
2020-03-12,6650,1153
2020-03-13,7426,1328
2020-03-14,8372,1518
2020-03-15,9663,1672
2020-03-16,11025,1851
2020-03-17,12894,2060
2020-03-18,14363,2257
2020-03-19,15757,2498
2020-03-20,16020,2655
2020-03-21,17708,2857
2020-03-22,19846,3009
2020-03-23,20692,3204
2020-03-24,21937,3396
2020-03-25,23112,3489
2020-03-26,24753,3612
2020-03-27,26029,3732
2020-03-28,26676,3856
2020-03-29,27386,3906
2020-03-30,27795,3981
2020-03-31,28192,4023
2020-04-01,28403,4035
2020-04-02,28540,4053
2020-04-03,28741,4068
2020-04-04,29010,3994
2020-04-05,28949,3977
2020-04-06,28976,3898
2020-04-07,28718,3792
2020-04-08,28485,3693
2020-04-09,28399,3605
2020-04-10,28242,3497
2020-04-11,28144,3381
2020-04-12,27847,3343
2020-04-13,28023,3260
2020-04-14,28011,3186
2020-04-15,27643,3079
2020-04-16,26893,2936
2020-04-17,25786,2812
2020-04-18,25007,2733
2020-04-19,25033,2635
2020-04-20,24906,2573
2020-04-21,24134,2471
2020-04-22,23805,2384
2020-04-23,22871,2267
2020-04-24,22068,2173
2020-04-25,21533,2102
2020-04-26,21372,2009
2020-04-27,20353,1956
2020-04-28,19723,1863
2020-04-29,19210,1795
2020-04-30,18149,1694
2020-05-01,17569,1578
2020-05-02,17357,1539
2020-05-03,17242,1501
2020-05-04,16823,1479
2020-05-05,16270,1427
2020-05-06,15769,1333
2020-05-07,15174,1311
2020-05-08,14636,1168
2020-05-09,13834,1034
2020-05-10,13618,1027
2020-05-11,13539,999
2020-05-12,12865,952
2020-05-13,12172,893
2020-05-14,11453,855
2020-05-15,10792,808
2020-05-16,10400,775
2020-05-17,10311,762
2020-05-18,10207,749
2020-05-19,9991,716
2020-05-20,9624,676
2020-05-21,9269,640
2020-05-22,8957,595
2020-05-23,8695,572
2020-05-24,8613,553
